"X.median_R_mean.lag_we","X.median_R_mean.lag1_we","X.percentage_age_we","X.Density_we","X.population_we","X.schoolClosing_we","X.restGatherings_we","X.cancEvents_we","X.testingPolicy_we","X.workClosing2a_we","X.grocery_and_pharmacy_we","X.transit_stations_we","X.transactiongrowth_we","X.workplaces_we","X.sre000d0_we","X.tre200d0_we","X.ure200d0_we","X.ferien_we","X.Canton_3","X.oneweek","Y","W"
0.300551739926743,0.0950366300366297,6.36530019182968e-16,-8.70085768777857e-13,5.56400655418017e-11,2.32665675697927e-16,-0.103479853479854,0.257554945054946,7.11428185530807e-16,-0.35576923076923,9.33501479220258e-16,5.37990092283237e-15,0.0161192184763528,2.83084957090062e-15,48.9281137265513,0.875298425945742,-4.32620884241419,0.684523809523809,-9.03641399922536e-16,0,1.05142857142857,1
0.176320970695972,0.0876190476190467,1.58905005026638e-16,1.13120130190676e-12,1.01921283662034e-10,-4.30860962569844e-16,-0.26831501831502,-0.00618131868131931,1.36863493505308e-15,0.342032967032963,4.32195998500056e-15,1.550412441676e-14,-0.0211380795889019,2.82191240113253e-15,-25.4136153776771,0.0918074724547953,-0.569987147442496,-0.0297619047619047,4.93551252589396e-15,0,0.754285714285714,1
0.114617673992673,-0.0969413919413923,3.03006331461413e-15,1.69582755488352e-13,-8.14966364586433e-11,3.88417141923962e-16,-0.317765567765566,-0.00618131868131815,6.54436504891261e-16,0.59478021978022,-2.03620747229153e-15,8.08285460347529e-16,-0.0276504100121081,3.5603176006799e-15,23.9780845890216,1.20784254848987,-2.44717246212787,0.00869963369963381,-2.39007595387047e-14,0,0.564285714285714,1
0.10720009157509,-0.256666666666667,1.33041477274758e-15,-8.88769645404326e-13,2.03109128271072e-11,8.42721521382929e-16,-0.317765567765567,-0.0061813186813182,3.99949717410359e-16,0.59478021978022,1.29011716745549e-17,-2.07634307560492e-15,0.0195276417984183,1.9963387510084e-15,25.783296044234,0.351611279758592,0.414934181228866,0.00869963369963382,1.65599160476797e-15,0,0.711428571428571,1
-0.0773603479853489,-0.179908424908425,1.45319351093469e-15,-8.05453922988719e-13,3.24806874026617e-11,5.30434379013696e-16,-0.317765567765567,-0.00618131868131835,5.08724564544828e-16,0.556318681318682,-1.76901194471671e-16,3.72706069912028e-15,0.0057731234638388,2.37422608269864e-15,17.1841451950823,0.66629576194307,-0.9634337008891,0.00869963369963384,2.03857302429233e-15,0,0.947142857142857,1
-0.237085622710623,-0.0758424908424909,1.77946070446503e-15,-8.11669083527286e-13,1.39344475443473e-10,-9.55595832602347e-17,-0.323260073260074,-0.00618131868131887,1.06989451814083e-15,0.53434065934066,2.03943396082939e-15,1.1044523408377e-14,0.0250926660061658,2.16377315571463e-15,-12.0382241022864,-0.293401148289539,3.15439927962247,0.00869963369963387,-1.84527957214833e-16,0,0.93,1
-0.160327380952382,-0.0932051282051289,1.03662997053123e-15,8.51780097113182e-13,2.99569727657485e-11,4.46709427948575e-16,-0.367216117216117,-0.00618131868131843,4.8235507116828e-16,-0.0920329670329642,-2.29650105476923e-15,-5.35269451458662e-16,-0.0222925135838513,2.88571077316887e-15,-7.90949449855706,-0.513312962665651,1.30758902638369,0.00869963369963381,1.15201941646722e-14,0,0.92,1
-0.0562614468864473,-0.00765567765567772,1.82982057782537e-15,-1.68747689010933e-13,1.30979067283127e-10,2.65403677477475e-16,-0.334249084249084,-0.00618131868131847,8.85659285603767e-16,-0.449175824175824,-7.23423068230144e-17,3.58834793537364e-15,0.0250338390046678,2.75325799420415e-15,-15.8799199064826,1.0080610799584,-0.248471163426525,0.00869963369963381,-5.81838140117997e-15,0,0.93,1
-0.845950091575089,0.262097069597074,-2.12795193754605e-14,-6.16058561642235e-12,4.69580681092669e-10,-1.13703901439124e-14,-0.641025641025648,0.029532967032956,-1.74698701663846e-14,-0.163003663003675,-1.4134863101083e-15,-6.32730221737213e-14,-0.0231502972241808,-4.4416985702518e-14,71.8434525543897,-0.417192416545127,-1.10218619839151,0.00869963369963287,-9.34110855128117e-14,0,1.45714285714286,0
-0.467598443223444,0.433141025641029,4.81455538043575e-15,-1.68443562284736e-12,1.56096817341671e-10,1.1673292838701e-15,-0.695970695970691,0.0295329670329679,-4.28622509842359e-16,-0.163003663003662,-1.05678226909006e-14,-1.01178876443012e-14,-0.0279373033092636,1.49288607542545e-15,-7.07929136835443,-0.178414111516776,-2.11133912879444,0.00869963369963372,-2.60534673698539e-14,0,0.875714285714286,0
0.311082875457877,-0.129221611721612,3.08252641274969e-15,-2.30265442916505e-13,5.45409722070894e-10,1.08973703738922e-15,-0.772893772893768,0.0295329670329684,5.59596088774134e-16,-0.163003663003662,-1.41336035285588e-14,-1.1903157523553e-14,-0.0570726482707358,-1.15273919526733e-14,19.052164675601,-0.289572952675644,1.78741045495513,0.00869963369963373,-2.60779996036095e-14,0,1.21142857142857,0
0.482126831501837,0.0500641025641016,2.08389804606213e-15,2.58488317051586e-12,1.40198670757095e-10,-3.46323921827417e-17,-0.772893772893775,0.0295329670329665,2.43086710686202e-15,-0.163003663003662,1.548740974475e-14,2.14253547524861e-14,-0.0651244069230386,2.63182430487672e-14,20.2097279456657,-0.082621986974631,-1.84035428030962,0.00869963369963379,2.75501911912269e-14,0,1.29857142857143,0
-0.0802358058608066,0.112701465201467,5.15984757173392e-15,-3.68300870677816e-12,4.04509202673812e-10,1.54856017102732e-15,-0.772893772893768,0.0295329670329696,-7.51727264017263e-16,-0.163003663003661,-2.09422998103841e-14,-2.43704002829224e-14,0.0346691586902493,-1.27849727163509e-14,24.8383035367403,0.156928046325363,-2.84003709749243,0.00869963369963403,-1.41735376373046e-14,0,1.30428571428571,0
0.0990499084249065,0.0920970695970666,-4.52261416385273e-16,2.8868293629433e-12,2.85144543800717e-10,1.23786038384913e-15,-0.772893772893773,0.0295329670329677,-5.06099124817243e-17,-0.163003663003662,-5.68174096709728e-15,-9.01479695901972e-16,0.0827904213963614,-3.7892859480146e-15,-60.8340907356537,-0.403326282678931,1.87261941266407,0.00869963369963372,7.15102335982415e-15,0,0.954285714285714,0
